SampleID	location	project	site	plot	rep	deep	depth	group	SoilBD	fineroots	coarseroots	roots	soilg	stonesg	nodules	amountnodules	ecto	protium	Sand	Clay	Silt	BrayP	OlsenP	pH	SoilMoisturePerc	NH4ppm	NO3ppm	Nperc	Cperc	NMDS1A	NMDS2A	NMDS1B	NMDS2B	NMDS1	NMDS2	lat	lon	Growth_rate	Mortality_rate	Quadratic_diameter	Aboveground_biomass	Aboveground_Cstock	Forest_density	Aboveground_productivity	tmean	precip	plowestq	elevation	rich	invSimp	shannon	ectoareayes	totalarea	percecto	fabareayes	fabperc	treatment	FUNrich	arbreads	AMrich	ecmreads	ECMrich	arbrel	ecmrel	funrel	Cperct	Nperct	Pperct	myc	PP	PPrich	ST	STrich	Cstock	Nstock	Litter_Nperct	Litter_Cperct	Litter_CtoN	Litter_Ptot	litterleaf_mass	SOMmass%LF	SOMmass%Sand	SOMmass%S+C	SOMrel_NinLF	SOMrel_CinLF	SOMrel_NinSand	SOMrel_CinSand	SOMrel_NinSC	SOMrel_CinSC	Weathering	GibtoKaol	Ptot	BrayP/Ptot	Pstock	CN	totPinSC	CP
BAA1A	BAA	guyafor	1	1	1	0-15	A	lowN	1.486464968	1.8162	1.0168	2.833	1120.2	4	0	o	m	0	78.5126162	7.96812749	13.51925631	0.930583501	0.985221675	3.83	NA	NA	NA	0.092	1.351	0.010932224	-0.038266789	NA	NA	-0.037803238	-0.052693738	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	A.lowN	200	7	4	14	2	0.002676864	0.005339436	0.992012172	1.351203005	0.09196385	NA	0.007987828	186	14	1524	74	30.12773897	2.05051562	1.371576309	34.52447319	25.17138344	295.5298013	56.04	0.519324878	79.66643364	18.12643563	0.008127238	0.197464398	0	0.08768609	0.065451675	0.778975082	1	0	NA	NA	0.247344113	14.68478261	0.089185671	121.8049565
BAA1B	BAA	guyafor	1	1	1	15-30	B	lowN	1.530387473	0.7088	0.2515	0.9603	1153.3	15.3	0	o	m	0	74.40839229	9.758477677	15.83313003	0.376506024	0.301507538	4.07	NA	NA	NA	0.0727	1.098	NA	NA	-0.075473703	-0.155503524	0.088879495	0.18272387	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	B.lowN	96	83	3	426	3	0.037675897	0.167321288	0.806390262	1.098230362	0.072678611	NA	0.193609738	70	7	510	26	25.21076983	1.668396531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	119	0.003171871	0.272489049	15.10316369	NA	92.52030478
BAA2A	BAA	guyafor	1	1	2	0-15	A	lowN	1.288880042	NA	NA	5.6439	971.3	1.1	0	o	NA	0	78.5126162	7.96812749	13.51925631	1.369521912	1.111111111	3.75	NA	NA	NA	0.107	1.618	-0.099248111	-0.320411378	NA	NA	-0.303399677	0.044097619	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	A.lowN	114	6	1	468	5	0.002776492	0.178421655	0.819703309	1.618311803	0.106992409	NA	0.180296691	26	5	1624	37	31.28714677	2.068505703	1.519979894	43.71358109	28.75931534	316.8316832	72.52	1.017050553	79.25017449	18.70575332	0.014904535	0.349543096	0	0.220569035	0.072849996	0.945008735	1	0	111	0.012307437	0.215132055	15.12149533	0.065336669	145.4322873
BAA2B	BAA	guyafor	1	1	2	15-30	B	lowN	1.594612527	0.7603	1.3116	2.0719	1201.7	0.924416667	0	o	NA	0	74.40839229	9.758477677	15.83313003	0.37055336	0.396039604	4.11	NA	NA	NA	0.0549	0.801	NA	NA	-0.033248455	-0.147211243	0.063328161	0.170640973	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	B.lowN	96	39	4	170	4	0.015860106	0.065637066	0.920502092	0.801436086	0.054899416	NA	0.079497908	35	7	1494	23	19.16970034	1.313149438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	133	0.002793332	0.317303344	14.59016393	NA	60.41442894
BAA3A	BAA	guyafor	1	1	3	0-15	A	lowN	1.070196391	NA	NA	0.774	806.5	1.3	0	o	NA	0	78.5126162	7.96812749	13.51925631	0.976953908	0.9	4.03	NA	NA	NA	0.0724	1.197	-0.351075197	0.100951161	NA	NA	-0.305122964	-0.06239009	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	A.lowN	182	11	5	739	9	0.005820106	0.282276547	0.714720426	1.197057406	0.072446418	NA	0.285279574	50	13	804	63	19.21629773	1.162978431	1.610475481	41.53509903	25.79058143	384.4936709	43.36	0.478659753	72.43717591	19.0566414	0.006479456	0.184633965	0	0.13062134	0.058918291	0.781859361	1	0	118	0.008306822	0.188796488	16.53314917	0.06138699	101.7831311
BAA3B	BAA	guyafor	1	1	3	15-30	B	lowN	1.505175159	NA	NA	3.825	1134.3	0.8	0	o	NA	0	74.40839229	9.758477677	15.83313003	0.275551102	0.294117647	4.11	NA	NA	NA	0.039	0.58	NA	NA	-0.013505282	-0.094575625	0.094978596	0.114536874	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	B.lowN	80	21	1	11	3	0.00802139	0.004217791	0.987828072	0.579733888	0.038959748	NA	0.012171928	49	7	957	22	13.08901571	0.879618669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	112	0.002454402	0.253474827	14.87179487	NA	51.63832576
BAA4A	BAA	guyafor	1	1	4	0-15	A	lowN	1.468683652	0.5182	0.0488	0.567	1106.8	96.9	0	o	m	0	78.5126162	7.96812749	13.51925631	2.087525151	1.170731707	3.9	NA	NA	NA	0.0984	1.549	0.053891916	-0.433039243	NA	NA	-0.267857128	-0.290911084	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	A.lowN	127	33	4	1710	8	0.035908596	0.658705701	0.33701027	1.548755844	0.098412474	NA	0.66298973	56	7	264	43	34.11948584	2.168051875	1.595821023	44.58703423	27.93987144	349.21875	67.36	0.299072874	75.3065497	22.52018742	0.005326513	0.107255144	0	0.07763642	0.057842424	0.511232922	1	0	105	0.019878418	0.231349957	15.74186992	0.094263839	147.4799751
BAA4B	BAA	guyafor	1	1	4	15-30	B	lowN	1.415605096	2.4663	0.9961	3.4624	1066.8	7.2	0	o	m	0	74.40839229	9.758477677	15.83313003	0.573852295	0.507614213	4.04	NA	NA	NA	0.0523	0.762	NA	NA	-0.077999028	0.514226855	-0.148643076	0.523751017	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	B.lowN	40	5	2	2	2	0.001903312	0.000762195	0.997337391	0.762405833	0.052273275	NA	0.002662609	99	3	2123	10	16.18898372	1.109974711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	112	0.005114512	0.238248032	14.56978967	NA	67.95012576
BAA5A	BAA	guyafor	1	1	5	0-15	A	lowN	1.384156051	2.3487	1.0036	3.3523	1043.1	4.9	1	o	s	0	78.5126162	7.96812749	13.51925631	1.125	0.909090909	4.01	NA	NA	NA	0.0826	1.243	-0.03959847	-0.045252469	NA	NA	-0.035332408	-0.018288506	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	A.lowN	245	29	7	222	9	0.012048193	0.085384615	0.904526436	1.243472497	0.082629296	NA	0.095473564	153	14	682	88	25.81739971	1.715577594	1.406763971	44.63225937	31.72689967	244.4089457	82.8	0.598265031	80.01794795	18.69578223	0.008612435	0.198936816	0	0.153163443	0.077476845	0.937205123	1	0	110	0.010243333	0.228027661	15.04842615	0.090313802	113.2204735
BAA5B	BAA	guyafor	1	1	5	15-30	B	lowN	1.475053079	0.5693	0.54	1.1093	1111.6	11.2	0	o	o	0	74.40839229	9.758477677	15.83313003	0.375751503	0.294117647	4.22	NA	NA	NA	0.0541	0.886	NA	NA	-0.015164164	-0.037859677	0.066676095	0.084739474	5.494716667	-53.98771667	1.11275	NA	276.02725	402.33425	189.0970975	589.75	3.57625	264	2460	324	38	116	33.78593717	4.160665464	52931.04222	334081.3407	15.84375892	49922.96951	14.94335763	B.lowN	154	29	1	17	8	0.011102603	0.006538462	0.982502853	0.886088411	0.054092743	NA	0.017497147	145	13	1126	47	19.60541158	1.196844995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	134	0.002811988	0.295655683	16.37707948	NA	66.31163454
